s,e
42a6845a557bef704ad8ac9cb4461d43,9d4c03631b8b0c85ae08bf05eda37d0f
4c7958ae576e324677837d348a133102,5acdc9ca5d99ae66afdfe1eea0e3b26b
94f192dee566b018e0acf31e1f99a2d9,2290a7385ed77cc5592dc2153229f082
1a6727711b84fd1efbb87fc565199d13,43baa6762fa81bb43b39c62553b2970d
1b0114c51cc532ed34e1954b5b9e4b58,ac53fab47b547a0d47b77e424cf119ba
234dd9e577ac5892481bc60663ffa405,325995af77a0e8b06d1204a171010b3a
1755c118e8859eb000eb6eca25369407,a7a3d70c6d17a73140918996d03c014f
f565bb9efccaf6986443db0bf01018bc,d863d5ec458b0dc3b46cba96d9d49ac3
b4d168b48157c623fbd095b4a565b5bb,8a057268a74a5f1201285aa667585e15
0a17ad0fa0870b05f172deeb05efef8e,f55cadb97eaff2ba1980e001b0bd9842
ba4002d88b8860b6a684ade8357aba56,0738069b244a1c43c83112b735140a16
8e2c381d4dd04f1c55093f22c59c3a08,aac61539fd1fb209b44b9f9d0d8d28ac
d58e2f077670f4de9cd7963c857f2534,663772ea088360f95bac3dc7ffb841be
12e1b435e5e53888e787d22c1e8d262d,2cbca44843a864533ec05b321ae1f9d1
18bb68e2b38e4a8ce7cf4f6b2625768c,7876acb66640bad41f1e1371ef30c180
c46489a2d5a9a9ecfc53b17610926ddd,8a057268a74a5f1201285aa667585e15
a7b7e4b27722574c611fe91476a50238,e0f48a1058f0f0204b22d4a2fd6f18ae
f740c8d9c193f16d8a07d3a8a751d13f,12e1b435e5e53888e787d22c1e8d262d
01922cbeae89ad4d79ab769e84e7c5da,325995af77a0e8b06d1204a171010b3a
297b631a88835f8931aa5aabdd06ece9,f9fd5ec4c141a95257aa99ef1b590672
664dd858db942cad06f24ff25df56716,fc2c7c47b918d0c2d792a719dfb602ef
9bd5ee6fe55aaeb673025dbcb8f939c1,347665597cbfaef834886adbb848011f
1458c6647dbf7cca56dff7bfe0576ebb,4670c07872d5314c6ad6ffa633d4a059
7a576629fef88f3e636afd33b09e8289,2290a7385ed77cc5592dc2153229f082
e13748298cfb23c19fdfd134a2221e7b,c9f95a0a5af052bffce5c89917335f67
82b0639a82d0cc70b8f5830fd2b06868,83dd3f9f97ef6533766c39d5b2e5e565
78e092e6f3d8a7b10a82c6abd756d748,40b5f25a228570053bc64a043c3f1833
b440509a0106086a67bc2ea9df0a1dab,c96e651946818e0787d6296f69549fe1
6d19c113404cee55b4036fce1a37c058,85d6e9c8255c0364fb67b5ac8a25eea3
d91d1b4d82419de8a614abce9cc0e6d4,feecee9f1643651799ede2740927317a
107878346e1d8f8fe6af7a7a588aa807,0b6ace9e8971cf36f1782aa982a708db
22cdb13a83f73ccd1f79ffaf607b0621,f6a8dd1c954c8506aadc764cc32b895e
dce4eef05fb6a56fa54b1a36e6b1fce7,4669d6db6d5b6739b9194e999d907924
b8cfbf77a3d250a4523ba67a65a7d031,228bbc2f87caeb21bb7f6949fddcb91d
9873eaad153c6c960616c89e54fe155a,23a6de9d1b696e1e7ddd06bb056745a2
8d09e4b85c783cbc30c9b8ae175f2d33,0b6ace9e8971cf36f1782aa982a708db
4b86abe48d358ecf194c56c69108433e,761efc843ff05ab74ed358713dd51c1b
a1e865a9b1065392ed6035d8ccd072d9,4d386d01419c083e8df5de53eb5a0254
8804f94e16ba5b680e239a554a08f7d2,ff450ba01b0ca2695d62525505dd80eb
78b91366b15c399bd05530e96d28a530,23937b42f9273974570fb5a56a6652ee
a4ee59dd868ba016ed2de90d330acb6a,33ceb07bf4eeb3da587e268d663aba1a
54b2b21af94108d83c2a909d5b0a6a50,d82a1853da4df5edcfc6f0e3159c23be
